epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,1630.65,0.67513,1.22285,0.43199,1.03204,0.99467,1,0.995,0.716,0.99467,1,0.995,0.60047,1.17826,1.37084,0.42897,2.16928,0.000523586,0.000523586,0.000523586
98,1644.12,0.70095,1.20953,0.42274,1.03301,0.99469,1,0.995,0.71106,0.99469,1,0.995,0.52496,1.18038,1.4936,0.46235,1.95805,0.000514154,0.000514154,0.000514154
99,1657.68,0.71725,1.23539,0.44497,1.0211,0.99456,1,0.995,0.79202,0.99456,1,0.995,0.63661,0.88706,1.165,0.42937,1.53668,0.000504723,0.000504723,0.000504723
100,1671.58,0.71822,1.16623,0.42331,1.03973,0.99463,1,0.995,0.77338,0.99463,1,0.995,0.59492,0.9441,1.24194,0.39951,1.80708,0.000495291,0.000495291,0.000495291
101,1684.61,0.65252,1.14098,0.40365,0.99962,0.99473,1,0.995,0.80778,0.99473,1,0.995,0.67755,0.83423,1.17205,0.38474,1.56458,0.00048586,0.00048586,0.00048586
102,1697.72,0.64166,1.17916,0.40643,0.99725,0.99475,1,0.995,0.81017,0.99475,1,0.995,0.62379,0.88786,1.38071,0.35194,1.54977,0.000476429,0.000476429,0.000476429
103,1711.02,0.69713,1.24328,0.43393,1.01986,0.99445,1,0.995,0.71367,0.99445,1,0.995,0.55195,1.03719,1.30531,0.39723,1.73167,0.000466997,0.000466997,0.000466997
104,1724.65,0.63988,1.18714,0.39646,0.98069,0.99429,1,0.995,0.71226,0.99429,1,0.995,0.57706,1.03598,1.36549,0.41132,1.87544,0.000457566,0.000457566,0.000457566
105,1739.8,0.62014,1.15822,0.38609,0.97339,0.99465,1,0.995,0.7347,0.99465,1,0.995,0.61594,0.94137,1.25943,0.37146,1.76146,0.000448134,0.000448134,0.000448134
106,1754.44,0.61829,1.15914,0.38593,0.98627,0.99477,1,0.995,0.73114,0.99477,1,0.995,0.53746,1.00001,1.46229,0.38122,1.73569,0.000438703,0.000438703,0.000438703
107,1766.88,0.62108,1.13157,0.39067,0.97362,0.99474,1,0.995,0.7322,0.99474,1,0.995,0.57581,0.97613,1.21244,0.39413,1.74834,0.000429272,0.000429272,0.000429272
108,1779.21,0.64536,1.11002,0.39472,0.97084,0.99467,1,0.995,0.76551,0.99467,1,0.995,0.59978,1.0571,1.4032,0.4467,1.80249,0.00041984,0.00041984,0.00041984
109,1793.65,0.63871,1.15236,0.40634,0.97899,1,1,0.995,0.74097,1,1,0.995,0.63763,1.05831,1.24747,0.4494,1.93354,0.000410409,0.000410409,0.000410409
